,do,re,mi,fa,so,la,xi
-4.0,0.0,0.0,20.601722307054384,23.124651419477154,24.499714748859347,27.500000000000007,30.867706328507772
-3.0,32.703195662574835,36.70809598967596,41.20344461410877,46.24930283895431,48.999429497718694,55.000000000000014,61.735412657015544
-2.0,65.40639132514967,73.41619197935192,82.40688922821754,92.49860567790861,97.99885899543739,110.00000000000003,123.47082531403109
-1.0,130.81278265029934,146.83238395870384,164.81377845643507,184.99721135581723,195.99771799087478,220.00000000000006,246.94165062806218
0.0,261.6255653005987,293.6647679174075,329.62755691287015,369.99442271163446,391.99543598174955,440.0000000000001,493.883301256124
1.0,523.2511306011974,587.329535834815,659.2551138257403,739.9888454232689,783.9908719634991,880.0000000000002,987.766602512248
2.0,1046.5022612023947,1174.65907166963,1318.5102276514806,1479.9776908465378,1567.9817439269982,1760.0000000000005,1975.533205024496
3.0,2093.0045224047894,2349.31814333926,2637.020455302961,2959.9553816930757,3135.9634878539964,3520.000000000001,3951.066410048992
4.0,4186.009044809579,4698.63628667852,5274.040910605922,5919.910763386151,6271.926975707993,7040.000000000002,7902.132820097984
5.0,8372.018089619158,9397.27257335704,10548.081821211845,11839.821526772303,12543.853951415986,14080.000000000004,15804.265640195968
6.0,16744.036179238316,18794.54514671408,0.0,0.0,0.0,0.0,0.0
